dedup_territory_name,territory_country,territory_latitude,territory_longitude,count
Shetland,GB,59.9,-1.3,2
Bickerstaffe,GB,53.5,-2.8,4
Aberfeldy (3),GB,56.5,-4.1,2
Fàsach Thioram,GB,57.7,-6.1,1
Taynuilt (2),GB,56.5,-5.2,2
Shrewsbury (2),GB,52.6,-2.7,9
Kinbrace (4),GB,58.4,-4.1,1
Harleston,GB,52.4,1.3,7
Evesham,GB,52,-2,7
Consett,GB,54.8,-2.1,2
Dursley,GB,51.7,-2.4,4
Hook,GB,51.3,-0.9,6
Newcastle upon Tyne (2),GB,55,-1.7,9
Axbridge,GB,51.3,-2.8,2
Braemore,GB,56.5,-2.6,4
Galashiels,GB,55.6,-2.9,1
Kingdom of Ashes,GB,50.5,-2,5
Leicester (2),GB,52.6,-1,1
Wick (2),GB,58.6,-3.1,1
Tarporley,GB,53.2,-2.6,4
Forfar,GB,56.7,-2.9,5
Banbridge,GB,54.3,-6.3,6
The Dragonlands,GB,53,-4.7,1
Emerald Refuge,GB,54.1,-2.9,1
Ballycastle (2),GB,55.2,-6.2,2
Hexham (4),GB,55.2,-2.5,3
Yelverton,GB,50.5,-3.9,1
Liverpool,GB,53.4,-2.9,6
Grantham (2),GB,53,-0.6,6
Còsagach,GB,58,-3.7,1
The Ghost Coast,GB,53,0.5,4
Brechin (2),GB,56.9,-3,1
Snow Haven,GB,60.1,-1.2,2
Sanctuary of the West,GB,58.6,-4.2,1
Loch Haven,GB,57.8,-4,3
Albion Risen,GB,56.5,-6.7,1
Bruton,GB,51.1,-2.5,2
Ashbourne,GB,53,-1.6,1
Biggar (2),GB,55.4,-3.5,1
Enniskillen (5),GB,54.5,-7.9,1
Cupar,GB,56.3,-3.1,4
Barnoldswick,GB,53.9,-2.2,1
Dungannon,GB,54.5,-7,2
Marsh Green,GB,50.7,-3.4,1
Truro,GB,50.2,-5,2
Leiston,GB,52.2,1.6,5
Kinbrace (3),GB,58.2,-3.8,1
Ballater (2),GB,57.1,-3.6,2
Cookstown,GB,54.7,-6.9,3
Edinburgh,GB,56,-3.1,3
Pendoylan,GB,51.5,-3.4,3
Winchelsea,GB,50.9,0.6,3
York (5),GB,54.1,-1,1
Llanwrda,GB,52,-3.9,1
Dragon's Bay,GB,51.5,-3.8,1
Carmarthen (3),GB,52,-4.1,1
Isle of Mull,GB,56.3,-5.9,1
Garve (2),GB,57.7,-4.8,1
Emerald Haven,GB,52,-5.2,2
Grìobag,GB,58.8,-2.8,1
Torpoint,GB,50.4,-4.2,1
